dataset,measure,loo_min,loo_max,loo_spread,loo_undefined
I,Pearson r,0.751,0.8852,0.1343,0
I,Spearman rho,0.7576,0.8909,0.1333,0
I,Kendall tau-b,0.5556,0.7333,0.1778,0
I,Mutual information,0.2356,0.4656,0.23,0
I,Distance correlation,0.7842,0.8929,0.1087,0
II,Pearson r,0.7587,0.8903,0.1317,0
II,Spearman rho,0.5879,0.8424,0.2545,0
II,Kendall tau-b,0.4667,0.7333,0.2667,0
II,Mutual information,0.2147,0.539,0.3243,0
II,Distance correlation,0.8262,0.9261,0.0999,0
III,Pearson r,0.7921,1.0,0.2079,0
III,Spearman rho,0.9879,1.0,0.0121,0
III,Kendall tau-b,0.9556,1.0,0.0444,0
III,Mutual information,0.3888,0.8956,0.5068,0
III,Distance correlation,0.8859,1.0,0.1141,0
IV,Pearson r,0.8147,0.8635,0.0489,1
IV,Spearman rho,0.5222,0.5222,0.0,1
IV,Kendall tau-b,0.4472,0.4472,0.0,1
IV,Mutual information,0.1046,0.1379,0.0333,1
IV,Distance correlation,0.806,0.8581,0.0521,1
